CODIGO,GENERO,ESTUDIANTE,FACULTAD,PROGRAMA,SEDE,JORNADA,SEMESTRE,PERIODO
108523020964,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020965,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020966,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020967,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020968,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020969,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020970,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020971,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020972,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020973,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020974,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020975,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020976,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020977,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020978,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020979,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020980,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020981,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020982,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020983,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020984,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
108523020986,F,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020987,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,2,2023.2
108523020988,M,Regular,Facultad de Ciencias Agrarias,Ingeniería Agropecuaria,POPAYAN,DIURNO,1,2023.2
104423020989,F,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,1,2023.2
100223021006,F,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,2,2023.2
100223021007,M,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,2,2023.2
100223021008,F,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,2,2023.2
100223021009,M,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,2,2023.2
100223021010,F,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,1,2023.2
104423020001,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020002,F,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020003,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020004,F,Primiparo,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,1,2023.2
104423020005,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,1,2023.2
104423020006,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020007,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020008,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020009,M,Primiparo,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020010,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020011,F,Primiparo,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020012,F,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020013,F,Primiparo,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020014,F,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020015,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020016,F,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020017,M,Primiparo,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020018,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020019,M,Primiparo,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020020,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,1,2023.2
104423020021,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020022,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020023,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020024,M,Primiparo,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020025,F,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020026,F,Primiparo,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020028,F,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020029,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020030,M,Primiparo,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020031,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020032,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020033,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020034,M,Primiparo,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020035,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,1,2023.2
104423020036,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020037,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,1,2023.2
104423020038,F,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020039,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
104423020040,M,Regular,Facultad de Ciencias Contables Económicas y Administrativas,Economía,POPAYAN,DIURNO,2,2023.2
103023020339,F,Regular,"Facultad de Ciencias Naturales, Exactas y de la Educación",Biología,POPAYAN,DIURNO,1,2023.2
103023020340,F,Regular,"Facultad de Ciencias Naturales, Exactas y de la Educación",Biología,POPAYAN,DIURNO,1,2023.2
103023020341,F,Regular,"Facultad de Ciencias Naturales, Exactas y de la Educación",Biología,POPAYAN,DIURNO,2,2023.2
103023020342,F,Regular,"Facultad de Ciencias Naturales, Exactas y de la Educación",Biología,POPAYAN,DIURNO,2,2023.2
103023020343,F,Regular,"Facultad de Ciencias Naturales, Exactas y de la Educación",Biología,POPAYAN,DIURNO,2,2023.2
103023020344,F,Regular,"Facultad de Ciencias Naturales, Exactas y de la Educación",Biología,POPAYAN,DIURNO,1,2023.2
103023020345,F,Regular,"Facultad de Ciencias Naturales, Exactas y de la Educación",Biología,POPAYAN,DIURNO,2,2023.2
103023020346,F,Regular,"Facultad de Ciencias Naturales, Exactas y de la Educación",Biología,POPAYAN,DIURNO,1,2023.2
103023020347,M,Regular,"Facultad de Ciencias Naturales, Exactas y de la Educación",Biología,POPAYAN,DIURNO,2,2023.2
103023020348,F,Regular,"Facultad de Ciencias Naturales, Exactas y de la Educación",Biología,POPAYAN,DIURNO,1,2023.2
103023020349,M,Regular,"Facultad de Ciencias Naturales, Exactas y de la Educación",Biología,POPAYAN,DIURNO,2,2023.2
100323020455,M,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100223021011,M,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,1,2023.2
100223021012,F,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,2,2023.2
100223021013,M,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,2,2023.2
100223021014,F,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,2,2023.2
100223021015,F,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,1,2023.2
100223021016,F,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,2,2023.2
100223021017,F,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,2,2023.2
100223021018,M,Regular,Facultad de Ciencias de la Salud,Medicina,POPAYAN,DIURNO,2,2023.2
100823021019,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021020,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021021,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021022,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021023,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021024,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,1,2023.2
100823021025,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021026,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021027,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021028,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021029,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,1,2023.2
100823021030,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021031,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,1,2023.2
100823021032,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021033,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021034,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,1,2023.2
100823021035,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,1,2023.2
100823021036,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021037,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021038,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021039,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021040,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021041,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021042,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021043,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021044,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021045,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021046,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021047,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021048,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021049,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,1,2023.2
100823021050,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021051,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021052,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021053,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,1,2023.2
100823021054,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021055,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100323020456,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020457,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020458,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020459,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,1,2023.2
100323020460,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020461,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020462,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020463,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020464,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,1,2023.2
100323020465,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020466,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020467,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020468,M,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020469,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,1,2023.2
100323020470,M,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020471,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020472,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020473,M,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020474,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020475,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,1,2023.2
100323020476,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,1,2023.2
100323020477,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020478,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,1,2023.2
100323020479,M,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020480,M,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020481,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,1,2023.2
100323020482,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020483,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020484,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,1,2023.2
100323020485,M,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,1,2023.2
100323020486,F,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
100323020487,M,Regular,Facultad de Ciencias de la Salud,Enfermería,POPAYAN,DIURNO,2,2023.2
104023020488,F,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,1,2023.2
104023020489,F,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,2,2023.2
104023020490,F,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,2,2023.2
104023020491,F,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,2,2023.2
104023020492,M,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,2,2023.2
104023020493,F,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,2,2023.2
104023020494,F,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,2,2023.2
104023020495,M,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,2,2023.2
104023020496,M,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,1,2023.2
104023020497,F,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,2,2023.2
104023020498,F,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,2,2023.2
104023020499,F,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,2,2023.2
104023020501,M,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,1,2023.2
104023020502,F,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,1,2023.2
104023020503,M,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,2,2023.2
104023020504,F,Regular,Facultad de Ciencias de la Salud,Fisioterapia,POPAYAN,DIURNO,1,2023.2
100823021056,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021057,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021058,F,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021059,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
100823021060,M,Regular,Facultad de Ciencias Humanas y Sociales,Antropología,POPAYAN,DIURNO,2,2023.2
101823021061,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021062,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021063,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021064,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021065,M,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021066,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021067,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021068,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021069,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021070,M,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021071,M,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021072,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021073,M,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021074,M,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021075,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,1,2023.2
101823021076,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021077,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021078,M,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021079,M,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021080,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021081,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021082,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021083,M,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021084,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,2,2023.2
101823021085,F,Regular,Facultad de Ciencias Humanas y Sociales,Licenciatura en Lenguas Modernas con Énfasis en Inglés y Francés,POPAYAN,DIURNO,1,2023.2
